# Converted from WS2812B2.ino retina palette
# Format: velocity:R,G,B
1:30,30,30
2:127,127,127
3:255,255,255
4:255,76,76
5:255,0,0
6:89,0,0
7:25,0,0
8:255,189,108
9:255,84,0
10:89,29,0
11:39,27,0
12:255,255,76
13:255,255,0
14:89,89,0
15:25,25,0
16:136,255,76
17:84,255,0
18:29,89,0
19:20,43,0
20:76,255,76
21:0,255,0
22:0,89,0
23:0,25,0
24:76,255,94
25:0,255,25
26:0,89,13
27:0,25,2
28:76,255,136
29:0,255,85
30:0,89,29
31:0,31,18
32:76,255,183
33:0,255,153
34:0,89,53
35:0,25,18
36:76,195,255
37:0,169,255
38:0,65,82
39:0,16,25
40:76,136,255
41:0,85,255
42:0,29,89
43:0,8,25
44:76,76,255
45:0,0,255
46:0,0,89
47:0,0,25
48:135,76,255
49:84,0,255
50:25,0,100
51:15,0,48
52:255,76,255
53:255,0,255
54:89,0,89
55:25,0,25
56:255,76,135
57:255,0,84
58:89,0,29
59:34,0,19
60:255,21,0
61:153,53,0
62:121,81,0
63:67,100,0
64:3,57,0
65:0,87,53
66:0,84,127
67:0,0,255
68:0,69,79
69:37,0,204
70:127,127,127
71:32,32,32
72:255,0,0
73:189,255,45
74:175,237,6
75:100,255,9
76:16,139,0
77:0,255,135
78:0,169,255
79:0,42,255
80:63,0,255
81:122,0,255
82:178,26,125
83:64,33,0
84:255,74,0
85:136,225,6
86:114,255,21
87:0,255,0
88:59,255,38
89:89,255,113
90:56,255,204
91:91,138,255
92:49,81,198
93:135,127,233
94:211,29,255
95:255,0,93
96:255,127,0
97:185,176,0
98:144,255,0
99:131,93,7
100:57,43,0
101:20,76,16
102:13,80,56
103:21,21,42
104:22,32,90
105:105,60,28
106:168,0,10
107:222,81,61
108:216,106,28
109:255,225,38
110:158,225,47
111:103,181,15
112:30,30,48
113:220,255,107
114:128,255,189
115:154,153,255
116:142,102,255
117:64,64,64
118:117,117,117
119:224,255,255
120:160,0,0
121:53,0,0
122:26,208,0
123:7,66,0
124:185,176,0
125:63,49,0
126:179,95,0
127:75,21,2
127:255,255,0
